experiment,app,data_type,num_ranks,system,use_case,data_structure,algorithm,latency,throughput,congestion,max_link_util,total_traffic_gb,strategy,communication_cost,cost_reduction,num_edges,scheduler,makespan,energy_kwh,avg_power_kw,utilization,burstiness,num_time_bins,scenario,compute_power_mw,total_power_mw,peak_power_mw,power_variance,power_efficiency,pattern
comd_n64_dense_20260121_214717,comd,real,64,frontier,scheduling,dynamic_matrix,,,,,,,,,,,sjf,3201.8532165069473,7860.247391580917,8837.66016,82.0,1.2390049419207831,388.0,,,,,,,
comd_n64_dense_20260121_214717,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,baseline,12.842011412245544,15.410413694694652,15.4871496,0.0007093677140384247,1.3557866778130854,
comd_n64_dense_20260121_214717,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,power_cap,12.78850072979644,15.346200875755727,15.4075896,0.0004539953369845913,1.3501373236693877,
comd_n64_dense_20260121_214717,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,frequency_scaling,12.27504111811003,14.730049341732036,15.4871496,0.06458264024145347,1.295929172097765,
comd_n64_dense_20260121_214717,comd,real,64,frontier,power,dynamic_matrix,,,,,,,,,,,,,,,,,,job_packing,12.309009176871287,14.770811012245543,14.8347576,0.0004926164680822392,1.2995153269500936,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,adaptive_routing,static_matrix,minimal,3.5439388278933337,10.122061324028568,0.012553950826666667,0.23492632576,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,adaptive_routing,static_matrix,ecmp,4.050215803306667,10.122061324028568,0.012553950826666667,0.23492632576,1.733217584,,,,,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,contiguous,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,random,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
comd_n64_scaled_20260121_214308,comd,real,64,lassen,node_placement,affinity_graph,,,,,,,locality,3466435168.0,0.0,192.0,,,,,,,,,,,,,,
