experiment,data_type,system,use_case,algorithm,latency_us,throughput_gbps,congestion,slowdown_factor,avg_hops,strategy,communication_cost,cost_reduction,scheduler,makespan,avg_wait_time,utilization,jobs_completed,energy_kwh,avg_power_kw,co2_kg,pflops,rl_reward,scenario,compute_power_mw,total_power_mw,peak_power_mw,avg_pflops,efficiency_gflops_w,rpeak_pflops,pattern,num_ranks
cosp2_n128_sparse_20260121_215534,real,lassen,placement,,,,,,,random,773728.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,placement,,,,,,,locality,966944.0,-0.24972083212705232,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,placement,,,,,,,spectral,773728.0,0.0,,,,,,,,,,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,scheduling,,,,,,,,,,fcfs,5700.0,18.181818181818183,1.0938261452241715,11.0,40.60093588825942,25.64269635047964,16.240374355303768,0.01244992918494152,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,scheduling,,,,,,,,,,backfill,5700.0,0.0,1.0938261452241715,11.0,40.60093588825942,25.64269635047964,16.240374355303768,0.01244992918494152,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,scheduling,,,,,,,,,,sjf,5700.0,18.181818181818183,1.0938261452241715,11.0,40.60093588825942,25.64269635047964,16.240374355303768,0.01244992918494152,,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,scheduling,,,,,,,,,,rl,34740.0,17880.0,0.0,11.0,0.0,0.0,0.0,0.0,60.199999999999875,,,,,,,,,
cosp2_n128_sparse_20260121_215534,real,lassen,power,,,,,,,,,,,,,,,17.62766728098277,,7051.066912393108,,,baseline,2.1153200737179323,2.7499160958333118,3.264698210526316,47.98763517756862,22685.756058289808,157.5936,,
cosp2_n128_sparse_20260121_215534,real,lassen,power,,,,,,,,,,,,,,,17.45221437350477,,6980.8857494019085,,,power_cap,2.094265724820572,2.722545442266744,3.2233346052631577,47.958364497394236,22899.846914843198,157.5936,,
cosp2_n128_sparse_20260121_215534,real,lassen,power,,,,,,,,,,,,,,,17.429115628385414,,6971.6462513541655,,,frequency_scaling,2.0914938754062495,2.718942038028125,3.264698210526316,46.56721955532316,22265.051838259864,157.5936,,
